89767	17740	50259	90413	5485	54214	42088	52180	13706	4053
35120	74584	48423	55755	18069	11644	87145	23043	65272	69458
26984	29718	92529	85579	61767	43266	81009	32068	39953	9505
69999	94123	1302	60747	54054	84983	79649	9191	90631	52607
40125	53111	87739	79359	51957	6789	49712	36207	72129	88188
64812	70019	49407	77845	95137	83186	3210	7722	99422	53751
37247	14094	32468	95015	13522	45059	81696	17288	82793	16540
63296	3513	24782	68591	52621	45473	35531	28479	18681	11357
77617	43361	95945	90231	4250	57648	52506	14438	44665	50170
52253	25670	25108	60972	19463	90993	67868	58168	94972	56313
